,date,name,code,diff,ranking,total
407,05-10,宋都股份,600077,-16,2596,3626
408,05-13,宋都股份,600077,-77,2673,3630
409,05-14,宋都股份,600077,-33,2706,3629
410,05-15,宋都股份,600077,-55,2761,3630
411,05-16,宋都股份,600077,-20,2781,3630
412,05-17,宋都股份,600077,105,2676,3630
413,05-09,澄星股份,600078,-58,2081,3627
414,05-10,澄星股份,600078,-67,2148,3626
415,05-13,澄星股份,600078,-110,2258,3630
416,05-14,澄星股份,600078,-80,2338,3629
417,05-15,澄星股份,600078,-46,2384,3630
418,05-16,澄星股份,600078,55,2329,3630
419,05-17,澄星股份,600078,-38,2367,3630
420,05-09,人福医药,600079,68,999,3627
421,05-10,人福医药,600079,-53,1052,3626
422,05-13,人福医药,600079,-127,1179,3630
423,05-14,人福医药,600079,60,1119,3629
424,05-15,人福医药,600079,140,979,3630
425,05-16,人福医药,600079,-86,1065,3630
426,05-17,人福医药,600079,-55,1120,3630
427,05-09,金花股份,600080,-83,1405,3627
428,05-10,金花股份,600080,-21,1426,3626
429,05-13,金花股份,600080,-150,1576,3630
430,05-14,金花股份,600080,-34,1610,3629
431,05-15,金花股份,600080,-26,1636,3630
432,05-16,金花股份,600080,60,1576,3630
433,05-17,金花股份,600080,30,1546,3630
434,05-09,东风科技,600081,-14,849,3627
435,05-10,东风科技,600081,30,819,3626
436,05-13,东风科技,600081,-50,869,3630
437,05-14,东风科技,600081,-60,929,3629
438,05-15,东风科技,600081,126,803,3630
439,05-16,东风科技,600081,101,702,3630
440,05-17,东风科技,600081,111,591,3630
441,05-09,海泰发展,600082,44,2414,3627
442,05-10,海泰发展,600082,33,2381,3626
443,05-13,海泰发展,600082,100,2281,3630
444,05-14,海泰发展,600082,47,2234,3629
445,05-15,海泰发展,600082,-19,2253,3630
446,05-16,海泰发展,600082,7,2246,3630
447,05-17,海泰发展,600082,-72,2318,3630
448,05-09,博信股份,600083,-53,3429,3627
449,05-10,博信股份,600083,-42,3471,3626
450,05-13,博信股份,600083,-43,3514,3630
451,05-14,博信股份,600083,-20,3534,3629
452,05-15,博信股份,600083,22,3512,3630
453,05-16,博信股份,600083,107,3405,3630
454,05-17,博信股份,600083,55,3350,3630
455,05-09,*ST中葡,600084,-49,539,3627
456,05-10,*ST中葡,600084,-97,636,3626
457,05-13,*ST中葡,600084,-88,724,3630
458,05-14,*ST中葡,600084,-238,962,3629
459,05-15,*ST中葡,600084,-273,1235,3630
460,05-16,*ST中葡,600084,-217,1452,3630
461,05-17,*ST中葡,600084,-131,1583,3630
462,05-09,同仁堂,600085,-69,1108,3627
463,05-10,同仁堂,600085,-74,1182,3626
464,05-13,同仁堂,600085,-88,1270,3630
465,05-14,同仁堂,600085,-63,1333,3629
466,05-15,同仁堂,600085,-26,1359,3630
467,05-16,同仁堂,600085,68,1291,3630
468,05-17,同仁堂,600085,-40,1331,3630
469,05-09,东方金钰,600086,-22,123,3627
470,05-10,东方金钰,600086,-21,144,3626
471,05-13,东方金钰,600086,-62,206,3630
472,05-14,东方金钰,600086,97,109,3629
473,05-15,东方金钰,600086,-7,116,3630
474,05-16,东方金钰,600086,0,116,3630
475,05-17,东方金钰,600086,-14,130,3630
476,05-09,中视传媒,600088,-13,1642,3627
477,05-10,中视传媒,600088,-35,1677,3626
478,05-13,中视传媒,600088,-107,1784,3630
479,05-14,中视传媒,600088,6,1778,3629
480,05-15,中视传媒,600088,102,1676,3630
481,05-16,中视传媒,600088,12,1664,3630
482,05-17,中视传媒,600088,-7,1671,3630
483,05-09,特变电工,600089,-24,669,3627
484,05-10,特变电工,600089,19,650,3626
485,05-13,特变电工,600089,-51,701,3630
486,05-14,特变电工,600089,-15,716,3629
487,05-15,特变电工,600089,-3,719,3630
488,05-16,特变电工,600089,12,707,3630
489,05-17,特变电工,600089,-34,741,3630
490,05-09,同济堂,600090,2,1675,3627
491,05-10,同济堂,600090,-9,1684,3626
492,05-13,同济堂,600090,-108,1792,3630
493,05-14,同济堂,600090,109,1683,3629
494,05-15,同济堂,600090,-41,1724,3630
495,05-16,同济堂,600090,48,1676,3630
496,05-17,同济堂,600090,30,1646,3630
497,05-09,ST明科,600091,-4,3592,3627
498,05-10,ST明科,600091,-1,3593,3626
499,05-13,ST明科,600091,-14,3607,3630
500,05-14,ST明科,600091,3,3604,3629
501,05-15,ST明科,600091,0,3604,3630
502,05-16,ST明科,600091,2,3602,3630
503,05-17,ST明科,600091,2,3600,3630
504,05-09,易见股份,600093,-19,744,3627
505,05-10,易见股份,600093,14,730,3626
506,05-13,易见股份,600093,322,408,3630
507,05-14,易见股份,600093,191,217,3629
508,05-15,易见股份,600093,15,202,3630
509,05-16,易见股份,600093,-6,208,3630
510,05-17,易见股份,600093,16,192,3630
511,05-09,大名城,600094,-56,541,3627
512,05-10,大名城,600094,-92,633,3626
513,05-13,大名城,600094,-119,752,3630
514,05-14,大名城,600094,-197,949,3629
515,05-15,大名城,600094,-330,1279,3630
516,05-16,大名城,600094,-111,1390,3630
517,05-17,大名城,600094,-149,1539,3630
518,05-09,哈高科,600095,9,20,3627
519,05-10,哈高科,600095,0,20,3626
520,05-13,哈高科,600095,-12,32,3630
521,05-14,哈高科,600095,-7,39,3629
522,05-15,哈高科,600095,-13,52,3630
523,05-16,哈高科,600095,-28,80,3630
524,05-17,哈高科,600095,10,70,3630
525,05-09,云天化,600096,-31,1749,3627
526,05-10,云天化,600096,-59,1808,3626
527,05-13,云天化,600096,-168,1976,3630
528,05-14,云天化,600096,-85,2061,3629
529,05-15,云天化,600096,-96,2157,3630
530,05-16,云天化,600096,18,2139,3630
531,05-17,云天化,600096,-48,2187,3630
532,05-09,开创国际,600097,4,3454,3627
533,05-10,开创国际,600097,-12,3466,3626
534,05-13,开创国际,600097,-9,3475,3630
535,05-14,开创国际,600097,-37,3512,3629
536,05-15,开创国际,600097,-2,3514,3630
537,05-16,开创国际,600097,-1,3515,3630
538,05-17,开创国际,600097,7,3508,3630
539,05-09,广州发展,600098,-60,2421,3627
540,05-10,广州发展,600098,-55,2476,3626
541,05-13,广州发展,600098,-89,2565,3630
542,05-14,广州发展,600098,-67,2632,3629
543,05-15,广州发展,600098,-30,2662,3630
544,05-16,广州发展,600098,-55,2717,3630
545,05-17,广州发展,600098,-36,2753,3630
546,05-09,林海股份,600099,-64,1685,3627
547,05-10,林海股份,600099,-254,1939,3626
548,05-13,林海股份,600099,-276,2215,3630
549,05-14,林海股份,600099,-87,2302,3629
550,05-15,林海股份,600099,170,2132,3630
551,05-16,林海股份,600099,-201,2333,3630
552,05-17,林海股份,600099,-103,2436,3630
553,05-09,同方股份,600100,-28,509,3627
554,05-10,同方股份,600100,-1,510,3626
555,05-13,同方股份,600100,78,432,3630
556,05-14,同方股份,600100,-17,449,3629
557,05-15,同方股份,600100,-38,487,3630
558,05-16,同方股份,600100,-37,524,3630
559,05-17,同方股份,600100,-30,554,3630
560,05-09,明星电力,600101,-115,2628,3627
561,05-10,明星电力,600101,-52,2680,3626
562,05-13,明星电力,600101,-219,2899,3630
563,05-14,明星电力,600101,-60,2959,3629
564,05-15,明星电力,600101,51,2908,3630
565,05-16,明星电力,600101,-34,2942,3630
566,05-17,明星电力,600101,-57,2999,3630
567,05-09,青山纸业,600103,42,1469,3627
568,05-10,青山纸业,600103,-11,1480,3626
569,05-13,青山纸业,600103,-95,1575,3630
570,05-14,青山纸业,600103,-18,1593,3629
571,05-15,青山纸业,600103,33,1560,3630
572,05-16,青山纸业,600103,-3,1563,3630
573,05-17,青山纸业,600103,-86,1649,3630
574,05-09,上汽集团,600104,9,234,3627
575,05-10,上汽集团,600104,12,222,3626
576,05-13,上汽集团,600104,34,188,3630
577,05-14,上汽集团,600104,-8,196,3629
578,05-15,上汽集团,600104,0,196,3630
579,05-16,上汽集团,600104,-4,200,3630
580,05-17,上汽集团,600104,0,200,3630
581,05-09,永鼎股份,600105,-63,594,3627
582,05-10,永鼎股份,600105,21,573,3626
583,05-13,永鼎股份,600105,88,485,3630
584,05-14,永鼎股份,600105,-32,517,3629
585,05-15,永鼎股份,600105,-27,544,3630
586,05-16,永鼎股份,600105,-52,596,3630
587,05-17,永鼎股份,600105,-28,624,3630
588,05-09,重庆路桥,600106,-33,1867,3627
589,05-10,重庆路桥,600106,56,1811,3626
590,05-13,重庆路桥,600106,102,1709,3630
591,05-14,重庆路桥,600106,28,1681,3629
592,05-15,重庆路桥,600106,-22,1703,3630
593,05-16,重庆路桥,600106,-38,1741,3630
594,05-17,重庆路桥,600106,-71,1812,3630
595,05-09,美尔雅,600107,-70,1637,3627
596,05-10,美尔雅,600107,-39,1676,3626
597,05-13,美尔雅,600107,-103,1779,3630
598,05-14,美尔雅,600107,-155,1934,3629
599,05-15,美尔雅,600107,-154,2088,3630
600,05-16,美尔雅,600107,-98,2186,3630
601,05-17,美尔雅,600107,30,2156,3630
602,05-09,亚盛集团,600108,21,354,3627
603,05-10,亚盛集团,600108,-9,363,3626
604,05-13,亚盛集团,600108,98,265,3630
605,05-14,亚盛集团,600108,-35,300,3629
606,05-15,亚盛集团,600108,-40,340,3630
607,05-16,亚盛集团,600108,27,313,3630
